Role,Product,OpCo,Half,value,BaseColour,Present,,
Data Scientist,Healthcare / Medical,Blank,Bottom,2,,0,,
Data Analyst,TopBlank,Blank,Top,2,,0,,
Data Analyst,TopBlank,TopBlank,Top,32,#fcfcfc,,,
Data Analyst,TopBlank,Blank,Top,2,,0,,
Data Analyst,Finance & Insurance,Blank,Top,2,,0,,
Data Analyst,Finance & Insurance,Data Collection,Top,4,#fe4365,0,,
Data Analyst,Finance & Insurance,Data Cleaning,Top,4,#f37251,0,,
Data Analyst,Finance & Insurance,Programming Languages,Top,4,#e7b05d,0,,
Data Analyst,Finance & Insurance,Data Integration,Top,4,#dcdb68,0,,
Data Analyst,Finance & Insurance,Data Storage,Top,4,#add171,0,,
Data Analyst,Finance & Insurance,Data Mining,Top,4,#7fba88,0,,
Data Analyst,Finance & Insurance,Data Visualisation,Top,4,#83af9b,0,,
Data Analyst,Finance & Insurance,Data Analysis,Top,4,#A9CBCF,0,,
Data Analyst,Finance & Insurance,Blank,Top,2,,0,,
Data Analyst,Fraud & Cybersecurity,Blank,Top,2,,0,,
Data Analyst,Fraud & Cybersecurity,Data Collection,Top,4,#fe4365,0,,
Data Analyst,Fraud & Cybersecurity,Data Cleaning,Top,4,#f37251,0,,
Data Analyst,Fraud & Cybersecurity,Programming Languages,Top,4,#e7b05d,0,,
Data Analyst,Fraud & Cybersecurity,Data Integration,Top,4,#dcdb68,0,,
Data Analyst,Fraud & Cybersecurity,Data Storage,Top,4,#add171,0,,
Data Analyst,Fraud & Cybersecurity,Data Mining,Top,4,#7fba88,0,,
Data Analyst,Fraud & Cybersecurity,Data Visualisation,Top,4,#83af9b,0,,
Data Analyst,Fraud & Cybersecurity,Data Analysis,Top,4,#A9CBCF,0,,
Data Analyst,Fraud & Cybersecurity,Blank,Top,2,,0,,
Data Analyst,Public Sector,Blank,Top,2,,0,,
Data Analyst,Public Sector,Data Collection,Top,4,#fe4365,1,,
Data Analyst,Public Sector,Data Cleaning,Top,4,#f37251,1,,
Data Analyst,Public Sector,Programming Languages,Top,4,#e7b05d,0,,
Data Analyst,Public Sector,Data Integration,Top,4,#dcdb68,1,,
Data Analyst,Public Sector,Data Storage,Top,4,#add171,0,,
Data Analyst,Public Sector,Data Mining,Top,4,#7fba88,1,,
Data Analyst,Public Sector,Data Visualisation,Top,4,#83af9b,0,,
Data Analyst,Public Sector,Data Analysis,Top,4,#A9CBCF,1,,
Data Analyst,Public Sector,Blank,Top,2,,0,,
Data Analyst,Life & Chemical Sciences,Blank,Top,2,,0,,
Data Analyst,Life & Chemical Sciences,Data Collection,Top,4,#fe4365,0,,
Data Analyst,Life & Chemical Sciences,Data Cleaning,Top,4,#f37251,0,,
Data Analyst,Life & Chemical Sciences,Programming Languages,Top,4,#e7b05d,0,,
Data Analyst,Life & Chemical Sciences,Data Integration,Top,4,#dcdb68,0,,
Data Analyst,Life & Chemical Sciences,Data Storage,Top,4,#add171,0,,
Data Analyst,Life & Chemical Sciences,Data Mining,Top,4,#7fba88,0,,
Data Analyst,Life & Chemical Sciences,Data Visualisation,Top,4,#83af9b,0,,
Data Analyst,Life & Chemical Sciences,Data Analysis,Top,4,#A9CBCF,0,,
Data Analyst,Life & Chemical Sciences,Blank,Top,2,,0,,
Data Analyst,BottomBlank,Blank,Bottom,2,,0,,
Data Analyst,BottomBlank,BottomBlank,Bottom,32,#fcfcfc,0,,
Data Analyst,BottomBlank,Blank,Bottom,2,,0,,
Data Analyst,IT and Tech,Blank,Bottom,2,,0,,
Data Analyst,IT and Tech,Data Collection,Bottom,4,#fe4365,1,,
Data Analyst,IT and Tech,Data Cleaning,Bottom,4,#f37251,1,,
Data Analyst,IT and Tech,Programming Languages,Bottom,4,#e7b05d,0,,
Data Analyst,IT and Tech,Data Integration,Bottom,4,#dcdb68,1,,
Data Analyst,IT and Tech,Data Storage,Bottom,4,#add171,0,,
Data Analyst,IT and Tech,Data Mining,Bottom,4,#7fba88,1,,
Data Analyst,IT and Tech,Data Visualisation,Bottom,4,#83af9b,1,,
Data Analyst,IT and Tech,Data Analysis,Bottom,4,#A9CBCF,1,,
Data Analyst,IT and Tech,Blank,Bottom,2,,0,,
Data Analyst,Manufacturing,Blank,Bottom,2,,0,,
Data Analyst,Manufacturing,Data Collection,Bottom,4,#fe4365,1,,
Data Analyst,Manufacturing,Data Cleaning,Bottom,4,#f37251,0,,
Data Analyst,Manufacturing,Programming Languages,Bottom,4,#e7b05d,0,,
Data Analyst,Manufacturing,Data Integration,Bottom,4,#dcdb68,0,,
Data Analyst,Manufacturing,Data Storage,Bottom,4,#add171,0,,
Data Analyst,Manufacturing,Data Mining,Bottom,4,#7fba88,1,,
Data Analyst,Manufacturing,Data Visualisation,Bottom,4,#83af9b,0,,
Data Analyst,Manufacturing,Data Analysis,Bottom,4,#A9CBCF,0,,
Data Analyst,Manufacturing,Blank,Bottom,2,,0,,
Data Analyst,Retail/eCommerce,Blank,Bottom,2,,0,,
Data Analyst,Retail/eCommerce,Data Collection,Bottom,4,#fe4365,1,,
Data Analyst,Retail/eCommerce,Data Cleaning,Bottom,4,#f37251,1,,
Data Analyst,Retail/eCommerce,Programming Languages,Bottom,4,#e7b05d,0,,
Data Analyst,Retail/eCommerce,Data Integration,Bottom,4,#dcdb68,0,,
Data Analyst,Retail/eCommerce,Data Storage,Bottom,4,#add171,0,,
Data Analyst,Retail/eCommerce,Data Mining,Bottom,4,#7fba88,1,,
Data Analyst,Retail/eCommerce,Data Visualisation,Bottom,4,#83af9b,1,,
Data Analyst,Retail/eCommerce,Data Analysis,Bottom,4,#A9CBCF,1,,
Data Analyst,Retail/eCommerce,Blank,Bottom,2,,0,,
Data Analyst,Healthcare / Medical,Blank,Bottom,2,,0,,
Data Analyst,Healthcare / Medical,Data Collection,Bottom,4,#fe4365,1,,
Data Analyst,Healthcare / Medical,Data Cleaning,Bottom,4,#f37251,1,,
Data Analyst,Healthcare / Medical,Programming Languages,Bottom,4,#e7b05d,0,,
Data Analyst,Healthcare / Medical,Data Integration,Bottom,4,#dcdb68,1,,
Data Analyst,Healthcare / Medical,Data Storage,Bottom,4,#add171,0,,
Data Analyst,Healthcare / Medical,Data Mining,Bottom,4,#7fba88,1,,
Data Analyst,Healthcare / Medical,Data Visualisation,Bottom,4,#83af9b,1,,
Data Analyst,Healthcare / Medical,Data Analysis,Bottom,4,#A9CBCF,1,,
Data Analyst,Healthcare / Medical,Blank,Bottom,2,,0,,
Data Engineer/Architect,TopBlank,Blank,Top,2,,0,,
Data Engineer/Architect,TopBlank,TopBlank,Top,32,#fcfcfc,,,
Data Engineer/Architect,TopBlank,Blank,Top,2,,0,,
Data Engineer/Architect,Finance & Insurance,Blank,Top,2,,0,,
Data Engineer/Architect,Finance & Insurance,Data Collection,Top,4,#fe4365,0,,
Data Engineer/Architect,Finance & Insurance,Data Cleaning,Top,4,#f37251,1,,
Data Engineer/Architect,Finance & Insurance,Programming Languages,Top,4,#e7b05d,1,,
Data Engineer/Architect,Finance & Insurance,Data Integration,Top,4,#dcdb68,1,,
Data Engineer/Architect,Finance & Insurance,Data Storage,Top,4,#add171,1,,
Data Engineer/Architect,Finance & Insurance,Data Mining,Top,4,#7fba88,0,,
Data Engineer/Architect,Finance & Insurance,Data Visualisation,Top,4,#83af9b,0,,
Data Engineer/Architect,Finance & Insurance,Data Analysis,Top,4,#A9CBCF,1,,
Data Engineer/Architect,Finance & Insurance,Blank,Top,2,,0,,
Data Engineer/Architect,Fraud & Cybersecurity,Blank,Top,2,,0,,
Data Engineer/Architect,Fraud & Cybersecurity,Data Collection,Top,4,#fe4365,0,,
Data Engineer/Architect,Fraud & Cybersecurity,Data Cleaning,Top,4,#f37251,1,,
Data Engineer/Architect,Fraud & Cybersecurity,Programming Languages,Top,4,#e7b05d,1,,
Data Engineer/Architect,Fraud & Cybersecurity,Data Integration,Top,4,#dcdb68,1,,
Data Engineer/Architect,Fraud & Cybersecurity,Data Storage,Top,4,#add171,1,,
Data Engineer/Architect,Fraud & Cybersecurity,Data Mining,Top,4,#7fba88,0,,
Data Engineer/Architect,Fraud & Cybersecurity,Data Visualisation,Top,4,#83af9b,0,,
Data Engineer/Architect,Fraud & Cybersecurity,Data Analysis,Top,4,#A9CBCF,1,,
Data Engineer/Architect,Fraud & Cybersecurity,Blank,Top,2,,0,,
Data Engineer/Architect,Public Sector,Blank,Top,2,,0,,
Data Engineer/Architect,Public Sector,Data Collection,Top,4,#fe4365,0,,
Data Engineer/Architect,Public Sector,Data Cleaning,Top,4,#f37251,0,,
Data Engineer/Architect,Public Sector,Programming Languages,Top,4,#e7b05d,0,,
Data Engineer/Architect,Public Sector,Data Integration,Top,4,#dcdb68,0,,
Data Engineer/Architect,Public Sector,Data Storage,Top,4,#add171,0,,
Data Engineer/Architect,Public Sector,Data Mining,Top,4,#7fba88,0,,
Data Engineer/Architect,Public Sector,Data Visualisation,Top,4,#83af9b,0,,
Data Engineer/Architect,Public Sector,Data Analysis,Top,4,#A9CBCF,0,,
Data Engineer/Architect,Public Sector,Blank,Top,2,,0,,
Data Engineer/Architect,Life & Chemical Sciences,Blank,Top,2,,0,,
Data Engineer/Architect,Life & Chemical Sciences,Data Collection,Top,4,#fe4365,0,,
Data Engineer/Architect,Life & Chemical Sciences,Data Cleaning,Top,4,#f37251,0,,
Data Engineer/Architect,Life & Chemical Sciences,Programming Languages,Top,4,#e7b05d,1,,
Data Engineer/Architect,Life & Chemical Sciences,Data Integration,Top,4,#dcdb68,0,,
Data Engineer/Architect,Life & Chemical Sciences,Data Storage,Top,4,#add171,1,,
Data Engineer/Architect,Life & Chemical Sciences,Data Mining,Top,4,#7fba88,0,,
Data Engineer/Architect,Life & Chemical Sciences,Data Visualisation,Top,4,#83af9b,0,,
Data Engineer/Architect,Life & Chemical Sciences,Data Analysis,Top,4,#A9CBCF,0,,
Data Engineer/Architect,Life & Chemical Sciences,Blank,Top,2,,0,,
Data Engineer/Architect,BottomBlank,Blank,Bottom,2,,0,,
Data Engineer/Architect,BottomBlank,BottomBlank,Bottom,32,#fcfcfc,0,,
Data Engineer/Architect,BottomBlank,Blank,Bottom,2,,0,,
Data Engineer/Architect,IT and Tech,Blank,Bottom,2,,0,,
Data Engineer/Architect,IT and Tech,Data Collection,Bottom,4,#fe4365,0,,
Data Engineer/Architect,IT and Tech,Data Cleaning,Bottom,4,#f37251,1,,
Data Engineer/Architect,IT and Tech,Programming Languages,Bottom,4,#e7b05d,1,,
Data Engineer/Architect,IT and Tech,Data Integration,Bottom,4,#dcdb68,1,,
Data Engineer/Architect,IT and Tech,Data Storage,Bottom,4,#add171,1,,
Data Engineer/Architect,IT and Tech,Data Mining,Bottom,4,#7fba88,0,,
Data Engineer/Architect,IT and Tech,Data Visualisation,Bottom,4,#83af9b,0,,
Data Engineer/Architect,IT and Tech,Data Analysis,Bottom,4,#A9CBCF,1,,
Data Engineer/Architect,IT and Tech,Blank,Bottom,2,,0,,
Data Engineer/Architect,Manufacturing,Blank,Bottom,2,,0,,
Data Engineer/Architect,Manufacturing,Data Collection,Bottom,4,#fe4365,0,,
Data Engineer/Architect,Manufacturing,Data Cleaning,Bottom,4,#f37251,0,,
Data Engineer/Architect,Manufacturing,Programming Languages,Bottom,4,#e7b05d,0,,
Data Engineer/Architect,Manufacturing,Data Integration,Bottom,4,#dcdb68,0,,
Data Engineer/Architect,Manufacturing,Data Storage,Bottom,4,#add171,1,,
Data Engineer/Architect,Manufacturing,Data Mining,Bottom,4,#7fba88,0,,
Data Engineer/Architect,Manufacturing,Data Visualisation,Bottom,4,#83af9b,0,,
Data Engineer/Architect,Manufacturing,Data Analysis,Bottom,4,#A9CBCF,0,,
Data Engineer/Architect,Manufacturing,Blank,Bottom,2,,0,,
Data Engineer/Architect,Retail/eCommerce,Blank,Bottom,2,,0,,
Data Engineer/Architect,Retail/eCommerce,Data Collection,Bottom,4,#fe4365,0,,
Data Engineer/Architect,Retail/eCommerce,Data Cleaning,Bottom,4,#f37251,1,,
Data Engineer/Architect,Retail/eCommerce,Programming Languages,Bottom,4,#e7b05d,1,,
Data Engineer/Architect,Retail/eCommerce,Data Integration,Bottom,4,#dcdb68,0,,
Data Engineer/Architect,Retail/eCommerce,Data Storage,Bottom,4,#add171,1,,
